" u "," y "
-0.18093,0.32
-0.18003,0.321
-0.17913,0.322
-0.17824,0.323
-0.17734,0.324
-0.17645,0.325
-0.17555,0.326
-0.17466,0.327
-0.17376,0.328
-0.17287,0.329
-0.17198,0.33
-0.17108,0.331
-0.17019,0.332
-0.1693,0.333
-0.16841,0.334
-0.16752,0.335
-0.16663,0.336
-0.16575,0.337
-0.16486,0.338
-0.16397,0.339
-0.16308,0.34
-0.1622,0.341
-0.16131,0.342
-0.16043,0.343
-0.15955,0.344
-0.15866,0.345
-0.15778,0.346
-0.1569,0.347
-0.15602,0.348
-0.15514,0.349
-0.15426,0.35
-0.15338,0.351
-0.1525,0.352
-0.15162,0.353
-0.15074,0.354
-0.14986,0.355
-0.14899,0.356
-0.14811,0.357
-0.14724,0.358
-0.14636,0.359
-0.14549,0.36
-0.14461,0.361
-0.14374,0.362
-0.14287,0.363
-0.142,0.364
-0.14112,0.365
-0.14025,0.366
-0.13938,0.367
-0.13851,0.368
-0.13764,0.369
-0.13678,0.37
-0.13591,0.371
-0.13504,0.372
-0.13417,0.373
-0.13331,0.374
-0.13244,0.375
-0.13158,0.376
-0.13071,0.377
-0.12985,0.378
-0.12898,0.379
-0.12812,0.38
-0.12726,0.381
-0.12639,0.382
-0.12553,0.383
-0.12467,0.384
-0.12381,0.385
-0.12295,0.386
-0.12209,0.387
-0.12123,0.388
-0.12037,0.389
-0.11951,0.39
-0.11866,0.391
-0.1178,0.392
-0.11694,0.393
-0.11609,0.394
-0.11523,0.395
-0.11438,0.396
-0.11352,0.397
-0.11267,0.398
-0.11181,0.399
-0.11096,0.4
-0.11011,0.401
-0.10925,0.402
-0.1084,0.403
-0.10755,0.404
-0.1067,0.405
-0.10584,0.406
-0.10499,0.407
-0.10414,0.408
-0.1033,0.409
-0.10245,0.41
-0.1016,0.411
-0.10075,0.412
-0.0999,0.413
-0.099052,0.414
-0.098205,0.415
-0.097358,0.416
-0.096511,0.417
-0.095665,0.418
-0.094819,0.419
-0.093974,0.42
-0.093129,0.421
-0.092283,0.422
-0.091439,0.423
-0.090595,0.424
-0.089751,0.425
-0.088907,0.426
-0.088065,0.427
-0.087222,0.428
-0.08638,0.429
-0.085538,0.43
-0.084696,0.431
-0.083854,0.432
-0.083013,0.433
-0.082172,0.434
-0.081331,0.435
-0.080491,0.436
-0.079651,0.437
-0.078811,0.438
-0.077971,0.439
-0.077132,0.44
-0.076292,0.441
-0.075454,0.442
-0.074615,0.443
-0.073777,0.444
-0.072938,0.445
-0.072101,0.446
-0.071263,0.447
-0.070426,0.448
-0.069589,0.449
-0.068752,0.45
-0.067915,0.451
-0.067079,0.452
-0.066242,0.453
-0.065406,0.454
-0.06457,0.455
-0.063734,0.456
-0.062898,0.457
-0.062063,0.458
-0.061227,0.459
-0.060392,0.46
-0.059557,0.461
-0.058722,0.462
-0.057887,0.463
-0.057053,0.464
-0.056218,0.465
-0.055383,0.466
-0.054549,0.467
-0.053715,0.468
-0.05288,0.469
-0.052046,0.47
-0.051212,0.471
-0.050378,0.472
-0.049544,0.473
-0.04871,0.474
-0.047876,0.475
-0.047043,0.476
-0.046209,0.477
-0.045376,0.478
-0.044542,0.479
-0.043709,0.48
-0.042875,0.481
-0.042042,0.482
-0.041208,0.483
-0.040374,0.484
-0.039541,0.485
-0.038707,0.486
-0.037873,0.487
-0.03704,0.488
-0.036206,0.489
-0.035373,0.49
-0.034539,0.491
-0.033705,0.492
-0.032872,0.493
-0.032038,0.494
-0.031203,0.495
-0.030369,0.496
-0.029535,0.497
-0.028701,0.498
-0.027866,0.499
-0.027032,0.5
-0.026197,0.501
-0.025362,0.502
-0.024527,0.503
-0.023692,0.504
-0.022857,0.505
-0.022022,0.506
-0.021186,0.507
-0.020351,0.508
-0.019515,0.509
-0.018679,0.51
-0.017843,0.511
-0.017007,0.512
-0.01617,0.513
-0.015333,0.514
-0.014496,0.515
-0.013659,0.516
-0.012821,0.517
-0.011983,0.518
-0.011145,0.519
-0.010307,0.52
-0.0094683,0.521
-0.0086297,0.522
-0.0077911,0.523
-0.0069518,0.524
-0.0061118,0.525
-0.0052718,0.526
-0.0044318,0.527
-0.003591,0.528
-0.0027498,0.529
-0.0019086,0.53
-0.0010674,0.531
-0.00022512,0.532
0.00061746,0.533
0.00146,0.534
0.0023027,0.535
0.0031465,0.536
0.0039906,0.537
0.0048347,0.538
0.0056787,0.539
0.0065242,0.54
0.0073696,0.541
0.0082151,0.542
0.0090606,0.543
0.0099081,0.544
0.010755,0.545
0.011603,0.546
0.012451,0.547
0.0133,0.548
0.014149,0.549
0.014998,0.55
0.015848,0.551
0.016699,0.552
0.01755,0.553
0.018401,0.554
0.019253,0.555
0.020106,0.556
0.020959,0.557
0.021813,0.558
0.022667,0.559
0.023523,0.56
0.024378,0.561
0.025234,0.562
0.026091,0.563
0.026948,0.564
0.027806,0.565
0.028664,0.566
0.029524,0.567
0.030384,0.568
0.031244,0.569
0.032105,0.57
0.032967,0.571
0.03383,0.572
0.034692,0.573
0.035555,0.574
0.03642,0.575
0.037286,0.576
0.038152,0.577
0.039018,0.578
0.039886,0.579
0.040754,0.58
0.041623,0.581
0.042492,0.582
0.043363,0.583
0.044234,0.584
0.045106,0.585
0.045977,0.586
0.046852,0.587
0.047727,0.588
0.048601,0.589
0.049477,0.59
0.050355,0.591
0.051233,0.592
0.052111,0.593
0.052989,0.594
0.053871,0.595
0.054752,0.596
0.055633,0.597
0.056516,0.598
0.057401,0.599
0.058286,0.6
0.059171,0.601
0.060057,0.602
0.060945,0.603
0.061834,0.604
0.062722,0.605
0.063612,0.606
0.064505,0.607
0.065397,0.608
0.066289,0.609
0.067184,0.61
0.068081,0.611
0.068977,0.612
0.069873,0.613
0.070772,0.614
0.071672,0.615
0.072572,0.616
0.073472,0.617
0.074376,0.618
0.075281,0.619
0.076185,0.62
0.07709,0.621
0.077998,0.622
0.078907,0.623
0.079816,0.624
0.080725,0.625
0.081638,0.626
0.082551,0.627
0.083465,0.628
0.084378,0.629
0.085296,0.63
0.086214,0.631
0.087132,0.632
0.088051,0.633
0.088973,0.634
0.089896,0.635
0.090818,0.636
0.091742,0.637
0.09267,0.638
0.093597,0.639
0.094525,0.64
0.095454,0.641
0.096387,0.642
0.09732,0.643
0.098252,0.644
0.099187,0.645
0.10012,0.646
0.10106,0.647
0.102,0.648
0.10294,0.649
0.10388,0.65
0.10483,0.651
0.10577,0.652
0.10672,0.653
0.10766,0.654
0.10861,0.655
0.10956,0.656
0.11051,0.657
0.11147,0.658
0.11242,0.659
0.11338,0.66
0.11434,0.661
0.11529,0.662
0.11625,0.663
0.11721,0.664
0.11818,0.665
0.11915,0.666
0.12011,0.667
0.12108,0.668
0.12205,0.669
0.12302,0.67
0.12399,0.671
0.12496,0.672
0.12594,0.673
0.12692,0.674
0.1279,0.675
0.12888,0.676
0.12986,0.677
0.13084,0.678
0.13183,0.679
0.13281,0.68
0.1338,0.681
0.13479,0.682
0.13578,0.683
0.13678,0.684
0.13778,0.685
0.13877,0.686
0.13977,0.687
0.14077,0.688
0.14177,0.689
0.14278,0.69
0.14378,0.691
0.14479,0.692
0.1458,0.693
0.14681,0.694
0.14782,0.695
0.14884,0.696
0.14985,0.697
0.15087,0.698
0.15189,0.699
0.15291,0.7
0.15394,0.701
0.15496,0.702
0.15598,0.703
0.15702,0.704
0.15805,0.705
0.15908,0.706
0.16011,0.707
0.16115,0.708
0.16219,0.709
0.16323,0.71
0.16427,0.711
0.16532,0.712
0.16636,0.713
0.16741,0.714
0.16846,0.715
0.16951,0.716
0.17057,0.717
0.17162,0.718
0.17268,0.719
0.17374,0.72
0.1748,0.721
